"trialType","rt","response","trial_type","trial_index","time_elapsed","whichPrime","question_order","block","word","color","valence","correct"
"prime","18050","{""responseInput"":""the side profile of a white man walking to the left""}","survey-html-form","2","55717","neutral","","","","","",""
"questionnaire","39077","{""prompt1"":3,""prompt2"":3,""prompt3"":1,""prompt4"":3,""prompt5"":3,""prompt6"":3,""prompt7"":4,""prompt8"":2,""prompt9"":3,""prompt10"":3}","survey-likert","3","94797","","[0,1,2,3,4,5,6,7,8,9]","","","","",""
"est","1348","b","html-keyboard-response","6","108157","","","practice","village","blue","neutral","true"
"est","1063","r","html-keyboard-response","8","109474","","","practice","monitor","red","neutral","true"
"est","722","r","html-keyboard-response","10","110450","","","practice","journal","red","neutral","true"
"est","802","r","html-keyboard-response","12","111507","","","practice","library","red","neutral","true"
"est","722","r","html-keyboard-response","14","112483","","","practice","picture","red","neutral","true"
"est","892","b","html-keyboard-response","16","113628","","","practice","elevator","blue","neutral","true"
"est","759","g","html-keyboard-response","18","114642","","","practice","balloon","green","neutral","true"
"est","1992","b","html-keyboard-response","20","116887","","","practice","library","blue","neutral","true"
"est","671","b","html-keyboard-response","22","117812","","","practice","journal","blue","neutral","true"
"est","548","b","html-keyboard-response","24","118614","","","practice","caramel","blue","neutral","true"
"est","774","b","html-keyboard-response","26","119641","","","practice","airport","blue","neutral","true"
"est","414","b","html-keyboard-response","28","120309","","","practice","stadium","blue","neutral","true"
"est","605","r","html-keyboard-response","30","121167","","","practice","jacket","red","neutral","true"
"est","755","g","html-keyboard-response","32","122175","","","practice","plastic","green","neutral","true"
"est","2024","b","html-keyboard-response","34","124453","","","practice","blanket","green","neutral","false"
"est","1781","b","html-keyboard-response","36","126487","","","practice","curtain","blue","neutral","true"
"est","1937","b","html-keyboard-response","38","128678","","","practice","airport","blue","neutral","true"
"est","1006","b","html-keyboard-response","40","129937","","","practice","helmet","blue","neutral","true"
"est","2272","g","html-keyboard-response","42","132464","","","practice","curtain","green","neutral","true"
"est","882","b","html-keyboard-response","44","133600","","","practice","battery","blue","neutral","true"
"est","2450","g","html-keyboard-response","46","136303","","","practice","printer","green","neutral","true"
"est","1356","g","html-keyboard-response","48","137913","","","practice","village","green","neutral","true"
"est","687","g","html-keyboard-response","50","138854","","","practice","machine","green","neutral","true"
"est","654","r","html-keyboard-response","52","139761","","","practice","uniform","red","neutral","true"
"est","1512","r","html-keyboard-response","54","141526","","","practice","cushion","red","neutral","true"
"est","10816","g","html-keyboard-response","56","152595","","","practice","caramel","green","neutral","true"
"est","574","g","html-keyboard-response","58","153423","","","practice","bicycle","green","neutral","true"
"est","664","r","html-keyboard-response","60","154341","","","practice","curtain","red","neutral","true"
"est","1008","g","html-keyboard-response","62","155602","","","practice","holiday","green","neutral","true"
"est","1568","g","html-keyboard-response","64","157423","","","practice","jacket","green","neutral","true"
"est","671","r","html-keyboard-response","66","158348","","","practice","uniform","red","neutral","true"
"est","1302","g","html-keyboard-response","68","159904","","","practice","sandbox","green","neutral","true"
"est","551","r","html-keyboard-response","70","160708","","","practice","blanket","red","neutral","true"
"est","649","r","html-keyboard-response","72","161611","","","practice","balloon","red","neutral","true"
"est","660","b","html-keyboard-response","74","162525","","","practice","receipt","blue","neutral","true"
"est","474","b","html-keyboard-response","76","163251","","","practice","picture","blue","neutral","true"
"est","1724","b","html-keyboard-response","79","166232","","","emotionB","ceiling","blue","neutral","true"
"est","809","g","html-keyboard-response","81","167294","","","emotionB","victory","green","emotionB","true"
"est","770","g","html-keyboard-response","83","168318","","","emotionB","flourish","green","emotionB","true"
"est","548","r","html-keyboard-response","85","169119","","","emotionB","flourish","red","emotionB","true"
"est","769","g","html-keyboard-response","87","170141","","","emotionB","holiday","green","neutral","true"
"est","681","r","html-keyboard-response","89","171075","","","emotionB","laundry","red","neutral","true"
"est","1023","r","html-keyboard-response","91","172352","","","emotionB","highway","red","neutral","true"
"est","623","r","html-keyboard-response","93","173228","","","emotionB","elevator","red","neutral","true"
"est","9530","b","html-keyboard-response","95","183012","","","emotionB","progress","blue","emotionB","true"
"est","740","g","html-keyboard-response","97","184005","","","emotionB","confidence","green","emotionB","true"
"est","836","r","html-keyboard-response","99","185094","","","emotionB","superior","red","emotionB","true"
"est","2123","b","html-keyboard-response","101","187471","","","emotionB","champion","blue","emotionB","true"
"est","1427","r","html-keyboard-response","103","189151","","","emotionB","diamond","red","neutral","true"
"est","1100","g","html-keyboard-response","105","190504","","","emotionB","conquer","green","emotionB","true"
"est","554","g","html-keyboard-response","107","191312","","","emotionB","winner","green","emotionB","true"
"est","487","g","html-keyboard-response","109","192052","","","emotionB","lantern","green","neutral","true"
"est","537","g","html-keyboard-response","111","192842","","","emotionB","conquer","green","emotionB","true"
