"trialType","rt","response","trial_type","trial_index","time_elapsed","whichPrime","question_order","block","word","color","valence","correct"
"prime","17262","{""responseInput"":""red guy being a champ with a blue people audience""}","survey-html-form","2","34360","success","","","","","",""
"questionnaire","83477","{""prompt1"":1,""prompt2"":3,""prompt3"":1,""prompt4"":3,""prompt5"":3,""prompt6"":3,""prompt7"":3,""prompt8"":1,""prompt9"":1,""prompt10"":3}","survey-likert","3","117842","","[0,1,2,3,4,5,6,7,8,9]","","","","",""
"est","1508","b","html-keyboard-response","6","127360","","","practice","sandbox","blue","neutral","true"
"est","1087","g","html-keyboard-response","8","128706","","","practice","airport","green","neutral","true"
"est","1196","g","html-keyboard-response","10","130161","","","practice","stadium","green","neutral","true"
"est","791","r","html-keyboard-response","12","131210","","","practice","caramel","red","neutral","true"
"est","1191","b","html-keyboard-response","14","132658","","","practice","journal","blue","neutral","true"
"est","765","r","html-keyboard-response","16","133682","","","practice","cushion","red","neutral","true"
"est","1185","b","html-keyboard-response","18","135127","","","practice","cushion","blue","neutral","true"
"est","589","g","html-keyboard-response","20","135973","","","practice","airport","green","neutral","true"
"est","1056","b","html-keyboard-response","22","137290","","","practice","helmet","blue","neutral","true"
"est","670","r","html-keyboard-response","24","138221","","","practice","village","red","neutral","true"
"est","701","g","html-keyboard-response","26","139177","","","practice","lantern","green","neutral","true"
"est","2011","r","html-keyboard-response","28","141450","","","practice","balloon","red","neutral","true"
"est","766","r","html-keyboard-response","30","142474","","","practice","diamond","red","neutral","true"
"est","857","b","html-keyboard-response","32","143590","","","practice","laundry","blue","neutral","true"
"est","867","g","html-keyboard-response","34","144716","","","practice","picture","green","neutral","true"
"est","431","g","html-keyboard-response","36","145408","","","practice","uniform","green","neutral","true"
"est","959","r","html-keyboard-response","38","146624","","","practice","cabinet","blue","neutral","false"
"est","1434","b","html-keyboard-response","40","148316","","","practice","laundry","red","neutral","false"
"est","449","b","html-keyboard-response","42","149022","","","practice","cabinet","red","neutral","false"
"est","1939","g","html-keyboard-response","44","151222","","","practice","balloon","green","neutral","true"
"est","926","b","html-keyboard-response","46","152408","","","practice","picture","blue","neutral","true"
"est","848","r","html-keyboard-response","48","153518","","","practice","blanket","red","neutral","true"
"est","742","b","html-keyboard-response","50","154518","","","practice","elevator","blue","neutral","true"
"est","599","b","html-keyboard-response","52","155378","","","practice","village","blue","neutral","true"
"est","740","r","html-keyboard-response","54","156378","","","practice","library","red","neutral","true"
"est","508","g","html-keyboard-response","56","157144","","","practice","machine","green","neutral","true"
"est","783","b","html-keyboard-response","58","158189","","","practice","journal","blue","neutral","true"
"est","532","b","html-keyboard-response","60","158980","","","practice","plastic","blue","neutral","true"
"est","1259","g","html-keyboard-response","62","160498","","","practice","jacket","green","neutral","true"
"est","1083","b","html-keyboard-response","64","161836","","","practice","monitor","blue","neutral","true"
"est","763","r","html-keyboard-response","66","162856","","","practice","stadium","red","neutral","true"
"est","4541","g","html-keyboard-response","68","167657","","","practice","printer","green","neutral","true"
"est","841","g","html-keyboard-response","70","168759","","","practice","ceiling","green","neutral","true"
"est","1416","r","html-keyboard-response","72","170432","","","practice","helmet","red","neutral","true"
"est","935","g","html-keyboard-response","74","171624","","","practice","monitor","green","neutral","true"
"est","1227","b","html-keyboard-response","76","173112","","","practice","jacket","blue","neutral","true"
"est","1047","g","html-keyboard-response","79","175421","","","emotionA","uniform","green","neutral","true"
"est","664","g","html-keyboard-response","81","176343","","","emotionA","weakness","green","emotionA","true"
"est","1395","b","html-keyboard-response","83","177998","","","emotionA","downfall","blue","emotionA","true"
"est","799","g","html-keyboard-response","85","179055","","","emotionA","downfall","green","emotionA","true"
"est","698","r","html-keyboard-response","87","180015","","","emotionA","struggle","red","emotionA","true"
"est","528","r","html-keyboard-response","89","180803","","","emotionA","frustrate","red","emotionA","true"
"est","2439","b","html-keyboard-response","91","183500","","","emotionA","library","blue","neutral","true"
"est","770","g","html-keyboard-response","93","184528","","","emotionA","machine","red","neutral","false"
"est","1516","r","html-keyboard-response","95","186300","","","emotionA","library","red","neutral","true"
"est","407","r","html-keyboard-response","97","186968","","","emotionA","curtain","red","neutral","true"
"est","910","g","html-keyboard-response","99","188139","","","emotionA","defeat","green","emotionA","true"
"est","1301","b","html-keyboard-response","101","189702","","","emotionA","holiday","blue","neutral","true"
"est","740","r","html-keyboard-response","103","190700","","","emotionA","receipt","red","neutral","true"
"est","446","r","html-keyboard-response","105","191406","","","emotionA","defeat","red","emotionA","true"
"est","1276","g","html-keyboard-response","107","192941","","","emotionA","insecurity","green","emotionA","true"
"est","848","b","html-keyboard-response","109","194048","","","emotionA","struggle","blue","emotionA","true"
"est","615","r","html-keyboard-response","111","194923","","","emotionA","insecurity","red","emotionA","true"
"est","1541","b","html-keyboard-response","113","196724","","","emotionA","curtain","blue","neutral","true"
"est","2273","g","html-keyboard-response","115","199256","","","emotionA","diamond","green","neutral","true"
"est","1571","b","html-keyboard-response","117","201088","","","emotionA","mistake","blue","emotionA","true"
"est","813","r","html-keyboard-response","119","202162","","","emotionA","setback","red","emotionA","true"
"est","476","r","html-keyboard-response","121","202899","","","emotionA","highway","red","neutral","true"
"est","1154","b","html-keyboard-response","123","204311","","","emotionA","doubtful","blue","emotionA","true"
"est","1788","r","html-keyboard-response","125","206357","","","emotionA","weakness","red","emotionA","true"
"est","738","g","html-keyboard-response","127","207355","","","emotionA","cabinet","green","neutral","true"
"est","749","g","html-keyboard-response","129","208362","","","emotionA","holiday","green","neutral","true"
"est","1471","b","html-keyboard-response","131","210090","","","emotionA","doubtful","blue","emotionA","true"
"est","765","g","html-keyboard-response","133","211113","","","emotionA","plastic","green","neutral","true"
"est","678","g","html-keyboard-response","135","212050","","","emotionA","elevator","green","neutral","true"
"est","1528","r","html-keyboard-response","137","213838","","","emotionA","mistake","red","emotionA","true"
"est","1176","g","html-keyboard-response","139","215272","","","emotionA","ceiling","green","neutral","true"
"est","398","g","html-keyboard-response","141","215929","","","emotionA","highway","green","neutral","true"
"est","1246","r","html-keyboard-response","143","217435","","","emotionA","sandbox","red","neutral","true"
"est","836","g","html-keyboard-response","145","218532","","","emotionA","disappoint","green","emotionA","true"
"est","421","g","html-keyboard-response","147","219211","","","emotionA","disappoint","green","emotionA","true"
"est","794","b","html-keyboard-response","149","220265","","","emotionA","monitor","blue","neutral","true"
"est","1060","r","html-keyboard-response","152","222592","","","emotionB","confidence","red","emotionB","true"
"est","358","r","html-keyboard-response","154","223210","","","emotionB","glorious","red","emotionB","true"
"est","524","r","html-keyboard-response","156","223994","","","emotionB","battery","red","neutral","true"
"est","2148","b","html-keyboard-response","158","226401","","","emotionB","curtain","blue","neutral","true"
"est","490","b","html-keyboard-response","160","227152","","","emotionB","glorious","blue","emotionB","true"
"est","926","r","html-keyboard-response","162","228337","","","emotionB","progress","red","emotionB","true"
"est","894","g","html-keyboard-response","164","229488","","","emotionB","ceiling","green","neutral","true"
"est","1809","b","html-keyboard-response","166","231557","","","emotionB","lantern","blue","neutral","true"
"est","1034","g","html-keyboard-response","168","232854","","","emotionB","confidence","green","emotionB","true"
"est","696","b","html-keyboard-response","170","233810","","","emotionB","sandbox","blue","neutral","true"
