"trialType","rt","response","trial_type","trial_index","time_elapsed","whichPrime","question_order","block","word","color","valence","correct"
"prime","7751","{""responseInput"":""A man with black hair walking""}","survey-html-form","2","12991","neutral","","","","","",""
"questionnaire","49993","{""prompt1"":1,""prompt2"":3,""prompt3"":1,""prompt4"":4,""prompt5"":3,""prompt6"":1,""prompt7"":2,""prompt8"":2,""prompt9"":4,""prompt10"":2}","survey-likert","3","62988","","[0,1,2,3,4,5,6,7,8,9]","","","","",""
"est","1083","r","html-keyboard-response","6","80766","","","practice","highway","red","neutral","true"
"est","547","r","html-keyboard-response","8","81570","","","practice","monitor","red","neutral","true"
"est","807","b","html-keyboard-response","10","82633","","","practice","cushion","blue","neutral","true"
"est","616","g","html-keyboard-response","12","83505","","","practice","balloon","green","neutral","true"
"est","655","g","html-keyboard-response","14","84415","","","practice","helmet","green","neutral","true"
"est","503","r","html-keyboard-response","16","85174","","","practice","cushion","red","neutral","true"
"est","633","g","html-keyboard-response","18","86063","","","practice","caramel","green","neutral","true"
"est","610","b","html-keyboard-response","20","86928","","","practice","ceiling","blue","neutral","true"
"est","672","g","html-keyboard-response","22","87855","","","practice","balloon","green","neutral","true"
"est","668","b","html-keyboard-response","24","88779","","","practice","picture","blue","neutral","true"
"est","598","g","html-keyboard-response","26","89633","","","practice","holiday","green","neutral","true"
"est","629","g","html-keyboard-response","28","90517","","","practice","plastic","green","neutral","true"
"est","553","r","html-keyboard-response","30","91326","","","practice","ceiling","red","neutral","true"
"est","484","r","html-keyboard-response","32","92065","","","practice","curtain","red","neutral","true"
"est","837","g","html-keyboard-response","34","93157","","","practice","airport","green","neutral","true"
"est","487","r","html-keyboard-response","36","93898","","","practice","laundry","red","neutral","true"
"est","537","r","html-keyboard-response","38","94689","","","practice","highway","red","neutral","true"
"est","502","g","html-keyboard-response","40","95446","","","practice","village","green","neutral","true"
"est","700","g","html-keyboard-response","42","96400","","","practice","diamond","green","neutral","true"
"est","393","g","html-keyboard-response","44","97048","","","practice","journal","green","neutral","true"
"est","1280","b","html-keyboard-response","46","98583","","","practice","lantern","blue","neutral","true"
"est","615","b","html-keyboard-response","48","99453","","","practice","village","blue","neutral","true"
"est","549","g","html-keyboard-response","50","100257","","","practice","jacket","green","neutral","true"
"est","596","g","html-keyboard-response","52","101108","","","practice","helmet","green","neutral","true"
"est","549","r","html-keyboard-response","54","101913","","","practice","blanket","red","neutral","true"
"est","441","r","html-keyboard-response","56","102609","","","practice","blanket","red","neutral","true"
"est","523","g","html-keyboard-response","58","103387","","","practice","library","green","neutral","true"
"est","910","r","html-keyboard-response","60","104551","","","practice","receipt","red","neutral","true"
"est","497","r","html-keyboard-response","62","105301","","","practice","journal","red","neutral","true"
"est","625","b","html-keyboard-response","64","106179","","","practice","monitor","blue","neutral","true"
"est","1077","g","html-keyboard-response","66","107509","","","practice","picture","green","neutral","true"
"est","406","g","html-keyboard-response","68","108171","","","practice","highway","green","neutral","true"
"est","697","b","html-keyboard-response","70","109123","","","practice","jacket","blue","neutral","true"
"est","605","b","html-keyboard-response","72","109983","","","practice","holiday","blue","neutral","true"
"est","641","g","html-keyboard-response","74","110878","","","practice","sandbox","green","neutral","true"
"est","702","b","html-keyboard-response","76","111833","","","practice","library","blue","neutral","true"
"est","1389","r","html-keyboard-response","79","114480","","","emotionB","machine","red","neutral","true"
"est","749","r","html-keyboard-response","81","115483","","","emotionB","glorious","red","emotionB","true"
"est","745","g","html-keyboard-response","83","116482","","","emotionB","mastery","green","emotionB","true"
"est","563","b","html-keyboard-response","85","117300","","","emotionB","winner","blue","emotionB","true"
"est","494","b","html-keyboard-response","87","118049","","","emotionB","bicycle","blue","neutral","true"
"est","447","b","html-keyboard-response","89","118751","","","emotionB","laundry","blue","neutral","true"
"est","873","g","html-keyboard-response","91","119881","","","emotionB","battery","green","neutral","true"
"est","624","r","html-keyboard-response","93","120760","","","emotionB","champion","red","emotionB","true"
"est","373","b","html-keyboard-response","95","121388","","","emotionB","glorious","blue","emotionB","true"
"est","606","b","html-keyboard-response","97","122249","","","emotionB","conquer","blue","emotionB","true"
"est","472","g","html-keyboard-response","99","122976","","","emotionB","diamond","green","neutral","true"
"est","534","b","html-keyboard-response","101","123765","","","emotionB","confidence","blue","emotionB","true"
"est","492","g","html-keyboard-response","103","124509","","","emotionB","flourish","green","emotionB","true"
"est","650","b","html-keyboard-response","105","125414","","","emotionB","holiday","blue","neutral","true"
"est","550","b","html-keyboard-response","107","126218","","","emotionB","machine","blue","neutral","true"
"est","505","b","html-keyboard-response","109","126978","","","emotionB","progress","blue","emotionB","true"
"est","519","b","html-keyboard-response","111","127752","","","emotionB","superior","blue","emotionB","true"
"est","705","g","html-keyboard-response","113","128712","","","emotionB","confidence","green","emotionB","true"
"est","533","r","html-keyboard-response","115","129500","","","emotionB","monitor","red","neutral","true"
"est","904","g","html-keyboard-response","117","130657","","","emotionB","bicycle","green","neutral","true"
"est","468","g","html-keyboard-response","119","131380","","","emotionB","cabinet","green","neutral","true"
"est","564","b","html-keyboard-response","121","132200","","","emotionB","champion","red","emotionB","false"
"est","2631","b","html-keyboard-response","123","135085","","","emotionB","elevator","blue","neutral","true"
"est","466","r","html-keyboard-response","125","135805","","","emotionB","victory","red","emotionB","true"
"est","849","b","html-keyboard-response","127","136909","","","emotionB","stadium","blue","neutral","true"
"est","451","g","html-keyboard-response","129","137614","","","emotionB","progress","green","emotionB","true"
"est","864","b","html-keyboard-response","131","138733","","","emotionB","curtain","blue","neutral","true"
"est","462","g","html-keyboard-response","133","139450","","","emotionB","flourish","green","emotionB","true"
"est","536","b","html-keyboard-response","135","140240","","","emotionB","conquer","blue","emotionB","true"
"est","655","g","html-keyboard-response","137","141148","","","emotionB","winner","green","emotionB","true"
"est","669","g","html-keyboard-response","139","142073","","","emotionB","battery","green","neutral","true"
"est","679","b","html-keyboard-response","141","143007","","","emotionB","victory","blue","emotionB","true"
"est","649","g","html-keyboard-response","143","143912","","","emotionB","battery","blue","neutral","false"
"est","719","r","html-keyboard-response","145","144885","","","emotionB","plastic","red","neutral","true"
"est","509","r","html-keyboard-response","147","145649","","","emotionB","laundry","red","neutral","true"
"est","489","r","html-keyboard-response","149","146392","","","emotionB","machine","red","neutral","true"
"est","860","b","html-keyboard-response","152","148510","","","emotionA","downfall","blue","emotionA","true"
"est","1002","r","html-keyboard-response","154","149766","","","emotionA","cabinet","red","neutral","true"
"est","472","r","html-keyboard-response","156","150494","","","emotionA","disappoint","red","emotionA","true"
"est","686","b","html-keyboard-response","158","151433","","","emotionA","setback","blue","emotionA","true"
"est","470","r","html-keyboard-response","160","152157","","","emotionA","weakness","red","emotionA","true"
"est","786","g","html-keyboard-response","162","153199","","","emotionA","setback","green","emotionA","true"
"est","937","r","html-keyboard-response","164","154391","","","emotionA","uniform","red","neutral","true"
"est","844","b","html-keyboard-response","166","155490","","","emotionA","elevator","blue","neutral","true"
"est","570","b","html-keyboard-response","168","156314","","","emotionA","doubtful","blue","emotionA","true"
"est","518","r","html-keyboard-response","170","157088","","","emotionA","library","red","neutral","true"
"est","633","g","html-keyboard-response","172","157977","","","emotionA","downfall","green","emotionA","true"
"est","695","r","html-keyboard-response","174","158927","","","emotionA","disappoint","red","emotionA","true"
"est","560","r","html-keyboard-response","176","159742","","","emotionA","receipt","red","neutral","true"
"est","584","g","html-keyboard-response","178","160581","","","emotionA","printer","green","neutral","true"
"est","624","g","html-keyboard-response","180","161460","","","emotionA","elevator","green","neutral","true"
"est","552","r","html-keyboard-response","182","162267","","","emotionA","curtain","red","neutral","true"
"est","519","b","html-keyboard-response","184","163040","","","emotionA","uniform","blue","neutral","true"
"est","648","g","html-keyboard-response","186","163940","","","emotionA","printer","green","neutral","true"
"est","440","b","html-keyboard-response","188","164635","","","emotionA","insecurity","blue","emotionA","true"
"est","650","g","html-keyboard-response","190","165539","","","emotionA","sandbox","green","neutral","true"
"est","459","b","html-keyboard-response","192","166254","","","emotionA","mistake","blue","emotionA","true"
"est","576","g","html-keyboard-response","194","167086","","","emotionA","frustrate","blue","emotionA","false"
"est","765","g","html-keyboard-response","196","168107","","","emotionA","printer","blue","neutral","false"
"est","668","r","html-keyboard-response","198","169030","","","emotionA","weakness","red","emotionA","true"
"est","707","g","html-keyboard-response","200","169991","","","emotionA","insecurity","green","emotionA","true"
"est","1484","r","html-keyboard-response","202","171730","","","emotionA","lantern","red","neutral","true"
"est","825","r","html-keyboard-response","204","172810","","","emotionA","plastic","red","neutral","true"
"est","445","r","html-keyboard-response","206","173509","","","emotionA","struggle","red","emotionA","true"
"est","428","r","html-keyboard-response","208","174192","","","emotionA","cabinet","red","neutral","true"
"est","495","r","html-keyboard-response","210","174943","","","emotionA","defeat","red","emotionA","true"
"est","396","r","html-keyboard-response","212","175593","","","emotionA","stadium","red","neutral","true"
"est","589","b","html-keyboard-response","214","176437","","","emotionA","bicycle","blue","neutral","true"
"est","485","b","html-keyboard-response","216","177177","","","emotionA","defeat","blue","emotionA","true"
"est","515","g","html-keyboard-response","218","177947","","","emotionA","doubtful","green","emotionA","true"
"est","1154","r","html-keyboard-response","220","179357","","","emotionA","frustrate","red","emotionA","true"
"est","1266","g","html-keyboard-response","222","180877","","","emotionA","receipt","green","neutral","true"
