"trialType","rt","response","trial_type","trial_index","time_elapsed","whichPrime","question_order","block","word","color","valence","correct"
"prime","9487","{""responseInput"":""man walking to the left ""}","survey-html-form","2","18466","neutral","","","","","",""
"questionnaire","49033","{""prompt1"":2,""prompt2"":4,""prompt3"":4,""prompt4"":2,""prompt5"":1,""prompt6"":1,""prompt7"":3,""prompt8"":1,""prompt9"":3,""prompt10"":1}","survey-likert","3","67503","","[0,1,2,3,4,5,6,7,8,9]","","","","",""
"est","1309","b","html-keyboard-response","6","83279","","","practice","plastic","blue","neutral","true"
"est","723","r","html-keyboard-response","8","84258","","","practice","cabinet","red","neutral","true"
"est","632","r","html-keyboard-response","10","85148","","","practice","ceiling","red","neutral","true"
"est","677","r","html-keyboard-response","12","86080","","","practice","journal","red","neutral","true"
"est","821","b","html-keyboard-response","14","87157","","","practice","caramel","blue","neutral","true"
"est","526","b","html-keyboard-response","16","87939","","","practice","curtain","blue","neutral","true"
"est","580","g","html-keyboard-response","18","88776","","","practice","cabinet","green","neutral","true"
"est","565","g","html-keyboard-response","20","89596","","","practice","lantern","green","neutral","true"
"est","571","g","html-keyboard-response","22","90422","","","practice","balloon","green","neutral","true"
"est","579","r","html-keyboard-response","24","91258","","","practice","airport","red","neutral","true"
"est","556","g","html-keyboard-response","26","92070","","","practice","airport","green","neutral","true"
"est","566","b","html-keyboard-response","28","92893","","","practice","diamond","blue","neutral","true"
"est","626","g","html-keyboard-response","30","93774","","","practice","highway","green","neutral","true"
"est","567","g","html-keyboard-response","32","94597","","","practice","village","green","neutral","true"
"est","602","b","html-keyboard-response","34","95455","","","practice","highway","blue","neutral","true"
"est","545","g","html-keyboard-response","36","96255","","","practice","cushion","green","neutral","true"
"est","578","b","html-keyboard-response","38","97090","","","practice","journal","blue","neutral","true"
"est","597","g","html-keyboard-response","40","97941","","","practice","picture","green","neutral","true"
"est","462","b","html-keyboard-response","42","98660","","","practice","blanket","blue","neutral","true"
"est","586","g","html-keyboard-response","44","99503","","","practice","balloon","green","neutral","true"
