"trialType","rt","response","trial_type","trial_index","time_elapsed","whichPrime","question_order","block","word","color","valence","correct"
"prime","47120","{""responseInput"":""Someone with pale skin and short dark hair walking to the left. They are wearing an orange shirt, blue pants, and black shoes.""}","survey-html-form","2","58363","neutral","","","","","",""
"questionnaire","55694","{""prompt1"":1,""prompt2"":2,""prompt3"":3,""prompt4"":2,""prompt5"":2,""prompt6"":1,""prompt7"":3,""prompt8"":1,""prompt9"":3,""prompt10"":3}","survey-likert","3","114061","","[0,1,2,3,4,5,6,7,8,9]","","","","",""
"est","1398","g","html-keyboard-response","6","125704","","","practice","ceiling","green","neutral","true"
"est","547","g","html-keyboard-response","8","126519","","","practice","airport","green","neutral","true"
"est","1492","r","html-keyboard-response","10","128274","","","practice","caramel","red","neutral","true"
"est","624","b","html-keyboard-response","12","129166","","","practice","jacket","blue","neutral","true"
"est","770","b","html-keyboard-response","14","130199","","","practice","village","blue","neutral","true"
"est","608","g","html-keyboard-response","16","131074","","","practice","cushion","green","neutral","true"
"est","559","b","html-keyboard-response","18","131889","","","practice","receipt","blue","neutral","true"
"est","616","b","html-keyboard-response","20","132772","","","practice","library","blue","neutral","true"
"est","531","b","html-keyboard-response","22","133562","","","practice","balloon","blue","neutral","true"
"est","667","g","html-keyboard-response","24","134496","","","practice","laundry","green","neutral","true"
"est","479","g","html-keyboard-response","26","135243","","","practice","sandbox","green","neutral","true"
"est","554","r","html-keyboard-response","28","136060","","","practice","lantern","red","neutral","true"
"est","519","g","html-keyboard-response","30","136836","","","practice","blanket","green","neutral","true"
"est","506","g","html-keyboard-response","32","137605","","","practice","laundry","green","neutral","true"
"est","560","b","html-keyboard-response","34","138424","","","practice","journal","blue","neutral","true"
"est","471","g","html-keyboard-response","36","139162","","","practice","laundry","green","neutral","true"
"est","530","b","html-keyboard-response","38","139951","","","practice","library","blue","neutral","true"
"est","475","g","html-keyboard-response","40","140691","","","practice","airport","green","neutral","true"
"est","475","r","html-keyboard-response","42","141426","","","practice","village","red","neutral","true"
"est","482","r","html-keyboard-response","44","142168","","","practice","stadium","red","neutral","true"
"est","439","b","html-keyboard-response","46","142864","","","practice","holiday","blue","neutral","true"
"est","724","r","html-keyboard-response","48","143850","","","practice","plastic","red","neutral","true"
"est","523","g","html-keyboard-response","50","144630","","","practice","blanket","green","neutral","true"
"est","702","r","html-keyboard-response","52","145602","","","practice","caramel","red","neutral","true"
"est","566","b","html-keyboard-response","54","146435","","","practice","sandbox","blue","neutral","true"
"est","419","b","html-keyboard-response","56","147112","","","practice","plastic","blue","neutral","true"
"est","431","b","html-keyboard-response","58","147812","","","practice","helmet","blue","neutral","true"
"est","582","g","html-keyboard-response","60","148662","","","practice","picture","green","neutral","true"
"est","613","b","html-keyboard-response","62","149532","","","practice","bicycle","blue","neutral","true"
"est","512","b","html-keyboard-response","64","150302","","","practice","balloon","blue","neutral","true"
"est","620","r","html-keyboard-response","66","151187","","","practice","jacket","red","neutral","true"
"est","507","r","html-keyboard-response","68","151948","","","practice","picture","red","neutral","true"
"est","532","b","html-keyboard-response","70","152734","","","practice","holiday","blue","neutral","true"
"est","568","b","html-keyboard-response","72","153563","","","practice","stadium","blue","neutral","true"
"est","788","r","html-keyboard-response","74","154611","","","practice","curtain","red","neutral","true"
"est","444","r","html-keyboard-response","76","155313","","","practice","helmet","red","neutral","true"
"est","1029","g","html-keyboard-response","79","157615","","","emotionA","frustrate","green","emotionA","true"
"est","524","g","html-keyboard-response","81","158403","","","emotionA","insecurity","green","emotionA","true"
"est","443","g","html-keyboard-response","83","159103","","","emotionA","defeat","green","emotionA","true"
"est","1215","r","html-keyboard-response","85","160578","","","emotionA","defeat","red","emotionA","true"
"est","562","r","html-keyboard-response","87","161406","","","emotionA","stadium","red","neutral","true"
"est","683","b","html-keyboard-response","89","162343","","","emotionA","disappoint","blue","emotionA","true"
"est","757","r","html-keyboard-response","91","163353","","","emotionA","struggle","red","emotionA","true"
"est","378","r","html-keyboard-response","93","163989","","","emotionA","weakness","red","emotionA","true"
"est","659","g","html-keyboard-response","95","164914","","","emotionA","receipt","green","neutral","true"
"est","532","g","html-keyboard-response","97","165703","","","emotionA","downfall","green","emotionA","true"
"est","760","r","html-keyboard-response","99","166729","","","emotionA","diamond","red","neutral","true"
"est","732","g","html-keyboard-response","101","167714","","","emotionA","monitor","green","neutral","true"
"est","724","r","html-keyboard-response","103","168707","","","emotionA","frustrate","red","emotionA","true"
"est","572","g","html-keyboard-response","105","169533","","","emotionA","doubtful","green","emotionA","true"
"est","454","b","html-keyboard-response","107","170254","","","emotionA","elevator","blue","neutral","true"
"est","670","g","html-keyboard-response","109","171188","","","emotionA","plastic","green","neutral","true"
"est","633","b","html-keyboard-response","111","172084","","","emotionA","uniform","blue","neutral","true"
