"trialType","rt","response","trial_type","trial_index","time_elapsed","whichPrime","question_order","block","word","color","valence","correct"
"prime","8536","{""responseInput"":""sad man""}","survey-html-form","2","29929","failure","","","","","",""
"questionnaire","33182","{""prompt1"":3,""prompt2"":3,""prompt3"":1,""prompt4"":1,""prompt5"":1,""prompt6"":2,""prompt7"":3,""prompt8"":1,""prompt9"":3,""prompt10"":3}","survey-likert","3","63113","","[0,1,2,3,4,5,6,7,8,9]","","","","",""
"est","1037","b","html-keyboard-response","6","69725","","","practice","curtain","blue","neutral","true"
"est","893","g","html-keyboard-response","8","70873","","","practice","airport","green","neutral","true"
"est","825","b","html-keyboard-response","10","71953","","","practice","stadium","blue","neutral","true"
"est","817","g","html-keyboard-response","12","73025","","","practice","bicycle","green","neutral","true"
"est","418","g","html-keyboard-response","14","73698","","","practice","jacket","green","neutral","true"
"est","639","r","html-keyboard-response","16","74591","","","practice","balloon","red","neutral","true"
"est","1337","g","html-keyboard-response","18","76182","","","practice","battery","green","neutral","true"
"est","717","r","html-keyboard-response","20","77152","","","practice","uniform","red","neutral","true"
"est","703","r","html-keyboard-response","22","78109","","","practice","elevator","red","neutral","true"
"est","942","b","html-keyboard-response","24","79306","","","practice","battery","blue","neutral","true"
"est","819","r","html-keyboard-response","26","80379","","","practice","uniform","red","neutral","true"
"est","971","g","html-keyboard-response","28","81603","","","practice","village","green","neutral","true"
"est","797","r","html-keyboard-response","30","82655","","","practice","stadium","red","neutral","true"
"est","826","b","html-keyboard-response","32","83735","","","practice","lantern","blue","neutral","true"
"est","720","b","html-keyboard-response","34","84710","","","practice","journal","blue","neutral","true"
"est","616","g","html-keyboard-response","36","85580","","","practice","holiday","green","neutral","true"
"est","617","r","html-keyboard-response","38","86452","","","practice","bicycle","red","neutral","true"
"est","915","g","html-keyboard-response","40","87621","","","practice","uniform","green","neutral","true"
"est","745","r","html-keyboard-response","42","88621","","","practice","caramel","red","neutral","true"
"est","797","g","html-keyboard-response","44","89672","","","practice","picture","green","neutral","true"
"est","717","r","html-keyboard-response","46","90644","","","practice","ceiling","red","neutral","true"
"est","680","b","html-keyboard-response","48","91578","","","practice","village","blue","neutral","true"
"est","705","g","html-keyboard-response","50","92537","","","practice","helmet","green","neutral","true"
"est","823","r","html-keyboard-response","52","93615","","","practice","balloon","red","neutral","true"
"est","1198","g","html-keyboard-response","54","95066","","","practice","cushion","green","neutral","true"
"est","672","g","html-keyboard-response","56","95991","","","practice","helmet","green","neutral","true"
"est","912","b","html-keyboard-response","58","97158","","","practice","airport","blue","neutral","true"
"est","934","g","html-keyboard-response","60","98346","","","practice","receipt","green","neutral","true"
"est","876","b","html-keyboard-response","62","99476","","","practice","caramel","blue","neutral","true"
"est","836","r","html-keyboard-response","64","100566","","","practice","jacket","red","neutral","true"
"est","1115","r","html-keyboard-response","66","101935","","","practice","cushion","red","neutral","true"
"est","862","b","html-keyboard-response","68","103051","","","practice","curtain","blue","neutral","true"
"est","600","g","html-keyboard-response","70","103906","","","practice","blanket","green","neutral","true"
"est","383","g","html-keyboard-response","72","104543","","","practice","blanket","green","neutral","true"
"est","344","g","html-keyboard-response","74","105142","","","practice","curtain","green","neutral","true"
"est","688","b","html-keyboard-response","76","106085","","","practice","receipt","blue","neutral","true"
"est","791","b","html-keyboard-response","79","108133","","","emotionA","setback","blue","emotionA","true"
"est","525","b","html-keyboard-response","81","108912","","","emotionA","doubtful","blue","emotionA","true"
"est","412","b","html-keyboard-response","83","109578","","","emotionA","cabinet","blue","neutral","true"
"est","708","r","html-keyboard-response","85","110540","","","emotionA","setback","red","emotionA","true"
"est","652","b","html-keyboard-response","87","111447","","","emotionA","defeat","blue","emotionA","true"
"est","564","g","html-keyboard-response","89","112266","","","emotionA","downfall","green","emotionA","true"
"est","653","r","html-keyboard-response","91","113174","","","emotionA","weakness","red","emotionA","true"
"est","548","r","html-keyboard-response","93","113976","","","emotionA","cabinet","red","neutral","true"
"est","866","g","html-keyboard-response","95","115095","","","emotionA","disappoint","green","emotionA","true"
"est","676","b","html-keyboard-response","97","116026","","","emotionA","library","blue","neutral","true"
"est","463","b","html-keyboard-response","99","116743","","","emotionA","disappoint","blue","emotionA","true"
"est","908","r","html-keyboard-response","101","117906","","","emotionA","diamond","red","neutral","true"
"est","427","r","html-keyboard-response","103","118587","","","emotionA","defeat","red","emotionA","true"
"est","732","g","html-keyboard-response","105","119573","","","emotionA","plastic","green","neutral","true"
"est","602","b","html-keyboard-response","107","120430","","","emotionA","insecurity","blue","emotionA","true"
"est","980","g","html-keyboard-response","109","121664","","","emotionA","battery","green","neutral","true"
"est","889","b","html-keyboard-response","111","122807","","","emotionA","library","blue","neutral","true"
"est","692","r","html-keyboard-response","113","123753","","","emotionA","weakness","red","emotionA","true"
"est","860","b","html-keyboard-response","115","124868","","","emotionA","bicycle","blue","neutral","true"
"est","697","g","html-keyboard-response","117","125819","","","emotionA","monitor","green","neutral","true"
"est","745","b","html-keyboard-response","119","126818","","","emotionA","ceiling","blue","neutral","true"
"est","435","b","html-keyboard-response","121","127507","","","emotionA","mistake","blue","emotionA","true"
"est","457","r","html-keyboard-response","123","128218","","","emotionA","highway","red","neutral","true"
"est","582","g","html-keyboard-response","125","129053","","","emotionA","lantern","green","neutral","true"
"est","555","g","html-keyboard-response","127","129860","","","emotionA","frustrate","green","emotionA","true"
"est","645","r","html-keyboard-response","129","130759","","","emotionA","plastic","red","neutral","true"
"est","762","b","html-keyboard-response","131","131775","","","emotionA","struggle","blue","emotionA","true"
"est","1183","g","html-keyboard-response","133","133211","","","emotionA","ceiling","green","neutral","true"
"est","1411","r","html-keyboard-response","135","134876","","","emotionA","machine","red","neutral","true"
"est","916","b","html-keyboard-response","137","136046","","","emotionA","diamond","blue","neutral","true"
"est","718","r","html-keyboard-response","139","137018","","","emotionA","downfall","red","emotionA","true"
