"trialType","rt","response","trial_type","trial_index","time_elapsed","whichPrime","question_order","block","word","color","valence","correct"
"prime","13057","{""responseInput"":""I see a man in a orange shirt and blue jeans walking""}","survey-html-form","2","25491","neutral","","","","","",""
"questionnaire","34668","{""prompt1"":3,""prompt2"":3,""prompt3"":1,""prompt4"":3,""prompt5"":3,""prompt6"":3,""prompt7"":4,""prompt8"":1,""prompt9"":3,""prompt10"":1}","survey-likert","3","60162","","[0,1,2,3,4,5,6,7,8,9]","","","","",""
"est","1645","b","html-keyboard-response","6","69841","","","practice","bicycle","blue","neutral","true"
"est","845","r","html-keyboard-response","8","70941","","","practice","curtain","red","neutral","true"
"est","683","b","html-keyboard-response","10","71879","","","practice","village","blue","neutral","true"
"est","788","g","html-keyboard-response","12","72923","","","practice","curtain","green","neutral","true"
"est","818","r","html-keyboard-response","14","73997","","","practice","laundry","red","neutral","true"
"est","629","g","html-keyboard-response","16","74881","","","practice","caramel","green","neutral","true"
"est","541","g","html-keyboard-response","18","75678","","","practice","journal","green","neutral","true"
"est","511","g","html-keyboard-response","20","76444","","","practice","elevator","green","neutral","true"
"est","527","b","html-keyboard-response","22","77226","","","practice","plastic","blue","neutral","true"
"est","609","r","html-keyboard-response","24","78089","","","practice","airport","red","neutral","true"
"est","728","r","html-keyboard-response","26","79072","","","practice","diamond","red","neutral","true"
"est","736","g","html-keyboard-response","28","80061","","","practice","airport","green","neutral","true"
"est","612","g","html-keyboard-response","30","80928","","","practice","picture","green","neutral","true"
"est","649","r","html-keyboard-response","32","81830","","","practice","balloon","red","neutral","true"
"est","866","b","html-keyboard-response","34","82952","","","practice","plastic","blue","neutral","true"
"est","706","b","html-keyboard-response","36","83913","","","practice","cushion","blue","neutral","true"
"est","631","g","html-keyboard-response","38","84798","","","practice","highway","green","neutral","true"
"est","503","g","html-keyboard-response","40","85555","","","practice","machine","green","neutral","true"
"est","641","b","html-keyboard-response","42","86450","","","practice","stadium","blue","neutral","true"
"est","669","g","html-keyboard-response","44","87373","","","practice","ceiling","green","neutral","true"
"est","802","r","html-keyboard-response","46","88430","","","practice","caramel","red","neutral","true"
"est","650","r","html-keyboard-response","48","89335","","","practice","jacket","red","neutral","true"
"est","452","r","html-keyboard-response","50","90041","","","practice","uniform","red","neutral","true"
"est","391","r","html-keyboard-response","52","90687","","","practice","jacket","red","neutral","true"
"est","350","r","html-keyboard-response","54","91292","","","practice","helmet","red","neutral","true"
"est","742","b","html-keyboard-response","56","92288","","","practice","diamond","blue","neutral","true"
"est","435","b","html-keyboard-response","58","92977","","","practice","lantern","blue","neutral","true"
"est","394","b","html-keyboard-response","60","93626","","","practice","cushion","blue","neutral","true"
"est","552","g","html-keyboard-response","62","94433","","","practice","holiday","green","neutral","true"
